,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,predicted count
0,1,0,1,0,6,0,2,0.344167,0.805833,0.160446,985,1159.16
1,1,0,1,0,0,0,2,0.363478,0.696087,0.24853899999999998,801,1170.81
2,1,0,1,0,1,1,1,0.196364,0.43727299999999997,0.248309,1349,1373.42
3,1,0,1,0,2,1,1,0.2,0.590435,0.160296,1562,1557.98
4,1,0,1,0,3,1,1,0.22695700000000002,0.436957,0.1869,1600,1570.76
5,1,0,1,0,4,1,1,0.204348,0.518261,0.0895652,1606,1585.43
6,1,0,1,0,5,1,2,0.196522,0.49869600000000003,0.168726,1510,1510.08
7,1,0,1,0,6,0,2,0.165,0.535833,0.266804,959,1050.14
8,1,0,1,0,0,0,1,0.13833299999999998,0.434167,0.36195,822,913.7
9,1,0,1,0,1,1,1,0.150833,0.482917,0.22326700000000002,1321,1325.79
10,1,0,1,0,2,1,2,0.16909100000000002,0.6863640000000001,0.12213199999999999,1263,1199.08
11,1,0,1,0,3,1,1,0.172727,0.599545,0.304627,1162,1218.51
12,1,0,1,0,4,1,1,0.165,0.47041700000000003,0.301,1406,1341.63
13,1,0,1,0,5,1,1,0.16087,0.537826,0.126548,1421,1403.19
14,1,0,1,0,6,0,2,0.23333299999999998,0.49875,0.15796300000000002,1248,1289.0
15,1,0,1,0,0,0,1,0.231667,0.48375,0.188433,1204,1213.09
16,1,0,1,1,1,0,2,0.175833,0.5375,0.194017,1000,1106.86
17,1,0,1,0,2,1,2,0.216667,0.861667,0.146775,683,897.11
18,1,0,1,0,3,1,2,0.292174,0.741739,0.208317,1650,1337.72
19,1,0,1,0,4,1,2,0.261667,0.538333,0.195904,1927,1826.0
20,1,0,1,0,5,1,1,0.1775,0.457083,0.353242,1543,1293.56
21,1,0,1,0,6,0,1,0.0591304,0.4,0.17197,981,1030.74
22,1,0,1,0,0,0,1,0.0965217,0.436522,0.2466,986,1004.82
23,1,0,1,0,1,1,1,0.0973913,0.49173900000000004,0.15833,1416,1391.51
24,1,0,1,0,2,1,2,0.223478,0.616957,0.129796,1985,1764.25
25,1,0,1,0,3,1,3,0.2175,0.8625,0.29385,506,713.8
26,1,0,1,0,4,1,1,0.195,0.6875,0.113837,431,795.19
27,1,0,1,0,5,1,2,0.203478,0.793043,0.1233,1167,1069.42
28,1,0,1,0,6,0,1,0.196522,0.6517390000000001,0.14536500000000002,1098,1194.24
29,1,0,1,0,0,0,1,0.216522,0.722174,0.0739826,1096,1043.05
30,1,0,1,0,1,1,2,0.180833,0.60375,0.187192,1501,1457.83
31,1,0,2,0,2,1,2,0.192174,0.829565,0.053212999999999996,1360,1345.86
32,1,0,2,0,3,1,2,0.26,0.775417,0.264308,1526,1619.73
33,1,0,2,0,4,1,1,0.18695699999999998,0.43782600000000005,0.277752,1550,1550.02
34,1,0,2,0,5,1,2,0.211304,0.585217,0.127839,1708,1676.78
35,1,0,2,0,6,0,2,0.23333299999999998,0.929167,0.161079,1005,1119.51
36,1,0,2,0,0,0,1,0.285833,0.568333,0.1418,1623,1761.9
37,1,0,2,0,1,1,1,0.271667,0.738333,0.045408300000000006,1712,1826.28
38,1,0,2,0,2,1,1,0.220833,0.537917,0.36195,1530,1621.48
39,1,0,2,0,3,1,2,0.134783,0.494783,0.188839,1605,1554.89
40,1,0,2,0,4,1,1,0.144348,0.437391,0.221935,1538,1576.53
41,1,0,2,0,5,1,1,0.189091,0.506364,0.10855,1746,1751.48
42,1,0,2,0,6,0,1,0.2225,0.544167,0.20336700000000002,1472,1553.26
43,1,0,2,0,0,0,1,0.31652199999999997,0.457391,0.260883,1589,1742.2
44,1,0,2,0,1,1,1,0.415,0.375833,0.17880200000000002,1913,2360.89
45,1,0,2,0,2,1,1,0.26608699999999996,0.314348,0.29137399999999997,1815,1826.12
46,1,0,2,0,3,1,1,0.318261,0.42347799999999997,0.251791,2115,2041.68
47,1,0,2,0,4,1,1,0.43583299999999997,0.505,0.230104,2475,2762.76
48,1,0,2,0,5,1,1,0.521667,0.516667,0.264925,2927,3489.28
49,1,0,2,0,6,0,1,0.399167,0.6275,0.17880200000000002,1635,1873.45
50,1,0,2,0,0,0,1,0.285217,0.407826,0.223235,1812,1815.74
51,1,0,2,1,1,0,2,0.303333,0.605,0.307846,1107,1336.63
