"season","yr","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt","predicted_count"
"1","0","1","0","6","0","2",0.344167,0.805833,0.160446,985,1162
"1","0","1","0","0","0","2",0.363478,0.696087,0.248539,801,1108
"1","0","1","0","1","1","1",0.196364,0.437273,0.248309,1349,1401
"1","0","1","0","2","1","1",0.2,0.590435,0.160296,1562,1519
"1","0","1","0","3","1","1",0.226957,0.436957,0.1869,1600,1618
"1","0","1","0","4","1","1",0.204348,0.518261,0.0895652,1606,1501
"1","0","1","0","5","1","2",0.196522,0.498696,0.168726,1510,1504
"1","0","1","0","6","0","2",0.165,0.535833,0.266804,959,1013
"1","0","1","0","0","0","1",0.138333,0.434167,0.36195,822,938
"1","0","1","0","1","1","1",0.150833,0.482917,0.223267,1321,1370
"1","0","1","0","2","1","2",0.169091,0.686364,0.122132,1263,1227
"1","0","1","0","3","1","1",0.172727,0.599545,0.304627,1162,1276
"1","0","1","0","4","1","1",0.165,0.470417,0.301,1406,1373
"1","0","1","0","5","1","1",0.16087,0.537826,0.126548,1421,1422
"1","0","1","0","6","0","2",0.233333,0.49875,0.157963,1248,1212
"1","0","1","0","0","0","1",0.231667,0.48375,0.188433,1204,1178
"1","0","1","1","1","0","2",0.175833,0.5375,0.194017,1000,1051
"1","0","1","0","2","1","2",0.216667,0.861667,0.146775,683,924
"1","0","1","0","3","1","2",0.292174,0.741739,0.208317,1650,1523
"1","0","1","0","4","1","2",0.261667,0.538333,0.195904,1927,1788
"1","0","1","0","5","1","1",0.1775,0.457083,0.353242,1543,1446
"1","0","1","0","6","0","1",0.0591304,0.4,0.17197,981,1032
"1","0","1","0","0","0","1",0.0965217,0.436522,0.2466,986,989
"1","0","1","0","1","1","1",0.0973913,0.491739,0.15833,1416,1391
"1","0","1","0","2","1","2",0.223478,0.616957,0.129796,1985,1730
"1","0","1","0","3","1","3",0.2175,0.8625,0.29385,506,800
"1","0","1","0","4","1","1",0.195,0.6875,0.113837,431,930
"1","0","1","0","5","1","2",0.203478,0.793043,0.1233,1167,1119
"1","0","1","0","6","0","1",0.196522,0.651739,0.145365,1098,1094
"1","0","1","0","0","0","1",0.216522,0.722174,0.0739826,1096,1041
"1","0","1","0","1","1","2",0.180833,0.60375,0.187192,1501,1439
"1","0","2","0","2","1","2",0.192174,0.829565,0.053213,1360,1375
"1","0","2","0","3","1","2",0.26,0.775417,0.264308,1526,1596
"1","0","2","0","4","1","1",0.186957,0.437826,0.277752,1550,1570
"1","0","2","0","5","1","2",0.211304,0.585217,0.127839,1708,1695
"1","0","2","0","6","0","2",0.233333,0.929167,0.161079,1005,1139
"1","0","2","0","0","0","1",0.285833,0.568333,0.1418,1623,1703
"1","0","2","0","1","1","1",0.271667,0.738333,0.0454083,1712,1812
"1","0","2","0","2","1","1",0.220833,0.537917,0.36195,1530,1554
"1","0","2","0","3","1","2",0.134783,0.494783,0.188839,1605,1603
"1","0","2","0","4","1","1",0.144348,0.437391,0.221935,1538,1564
"1","0","2","0","5","1","1",0.189091,0.506364,0.10855,1746,1723
"1","0","2","0","6","0","1",0.2225,0.544167,0.203367,1472,1481
"1","0","2","0","0","0","1",0.316522,0.457391,0.260883,1589,1747
"1","0","2","0","1","1","1",0.415,0.375833,0.180975,1913,2079
"1","0","2","0","2","1","1",0.266087,0.314348,0.291374,1815,1830
"1","0","2","0","3","1","1",0.318261,0.423478,0.251791,2115,1972
"1","0","2","0","4","1","1",0.435833,0.505,0.230104,2475,2760
"1","0","2","0","5","1","1",0.521667,0.516667,0.264925,2927,3354
"1","0","2","0","6","0","1",0.399167,0.626667,0.180975,1635,1827
"1","0","2","0","0","0","1",0.285217,0.407826,0.223235,1812,1774
"1","0","2","1","1","0","2",0.303333,0.605,0.307846,1107,1308
"1","0","2","0","2","1","1",0.182222,0.577778,0.195683,1450,1512
"1","0","2","0","3","1","1",0.221739,0.423043,0.094113,1917,1822
"1","0","2","0","4","1","2",0.295652,0.697391,0.250496,1807,1726
"1","0","2","0","5","1","2",0.364348,0.712174,0.346539,1461,1528
"1","0","2","0","6","0","1",0.2825,0.537917,0.186571,1969,1774
"1","0","2","0","0","0","1",0.343478,0.68,0.125248,2402,2099
"1","0","2","0","1","1","2",0.407273,0.876364,0.289686,1446,1652
"1","0","3","0","2","1","1",0.266667,0.535,0.216425,1851,1917
"1","0","3","0","3","1","1",0.335,0.449583,0.307833,2134,2142
"1","0","3","0","4","1","1",0.198333,0.318333,0.225754,1685,1742
"1","0","3","0","5","1","2",0.261667,0.610417,0.203346,1944,1928
"1","0","3","0","6","0","2",0.384167,0.789167,0.251871,2077,1946
"1","0","3","0","0","0","2",0.376522,0.948261,0.343287,605,1173
"1","0","3","0","1","1","1",0.261739,0.551304,0.341352,1872,1843
"1","0","3","0","2","1","1",0.2925,0.420833,0.12065,2133,2136
"1","0","3","0","3","1","2",0.295833,0.775417,0.22015,1891,1884
"1","0","3","0","4","1","3",0.389091,0.626667,0.261877,623,1265
"1","0","3","0","5","1","2",0.316522,0.649565,0.23297,1977,1979
"1","0","3","0","6","0","1",0.329167,0.594583,0.220775,2132,2116
"1","0","3","0","0","0","1",0.384348,0.527391,0.270604,2417,2251
"1","0","3","0","1","1","1",0.325217,0.496957,0.136926,2046,2100
"1","0","3","0","2","1","2",0.317391,0.655652,0.184309,2056,1946
"1","0","3","0","3","1","2",0.365217,0.776522,0.203117,2192,2055
"1","0","3","0","4","1","1",0.415,0.602917,0.209579,2744,2509
"1","0","3","0","5","1","1",0.54,0.525217,0.231017,3239,3410
"1","0","3","0","6","0","1",0.4725,0.379167,0.368167,3117,3245
"1","0","3","0","0","0","1",0.3325,0.47375,0.207721,2471,2279
